feedline_width_fw_mm,patch_length_pl_mm,patch_width_pw_mm,resonant_frequency_ghz,minimum_s11_db,bandwidth_ghz,z_real,z_imaginary
0.422,2.49,3.15,38.548,-51.398,1.353001,68.091698,-0.060973427
0.422,2.49,3.19,38.494,-32.925,1.338001,70.853306,-0.43846409
0.422,2.49,3.23,38.434,-27.514,1.317002,73.580208,-1.000312
0.422,2.49,3.27,38.41,-25.11,1.304996,75.53617,-1.4624786
0.422,2.49,3.31,38.341,-21.708,1.265999,79.620315,-2.3858424
0.422,2.5,2.95,38.686,-20.194,1.349998,55.726405,1.3104746
0.422,2.5,2.99,38.626,-22.158,1.361999,57.976315,0.97857888
0.422,2.5,3.03,38.566,-24.539,1.368,60.184562,0.76489108
0.422,2.5,3.07,38.521,-27.456,1.368,62.266817,0.70776694
0.422,2.5,3.11,38.464,-32.876,1.365002,64.737016,0.39519013
0.422,2.5,3.15,38.419,-48.298,1.359001,67.217652,0.076145886
0.422,2.5,3.19,38.365,-35.959,1.344002,69.933559,-0.23807739
0.422,2.5,3.23,38.305,-29.035,1.326,72.621559,-0.72937238
0.422,2.5,3.27,38.281,-26.253,1.310997,74.548611,-1.1377531
0.422,2.5,3.31,38.215,-22.478,1.278,78.618338,-1.7302523
0.422,2.51,2.95,38.554,-19.685,1.347,55.033711,0.96256916
0.422,2.51,2.99,38.497,-21.514,1.359001,57.266084,0.84312394
0.422,2.51,3.03,38.437,-23.686,1.368001,59.438661,0.66382224
0.422,2.51,3.07,38.392,-26.266,1.368,61.483007,0.64160327
0.422,2.51,3.11,38.335,-30.74,1.368,63.914849,0.37595461
0.422,2.51,3.15,38.29,-39.778,1.362,66.359843,0.10821524
0.422,2.51,3.19,38.236,-40.555,1.349998,69.028724,-0.14702086
0.422,2.51,3.23,38.176,-30.836,1.334999,71.677679,-0.57494701
0.422,2.51,3.27,38.155,-27.539,1.319999,73.605706,-0.72599355
0.422,2.51,3.31,38.086,-23.306,1.287003,77.581202,-1.4197207
0.422,2.52,2.95,38.425,-19.211,1.341,54.376041,0.71894095
0.422,2.52,2.99,38.368,-20.924,1.358998,56.57455,0.63165127
0.422,2.52,3.03,38.311,-22.923,1.365,58.723271,0.66484517
0.422,2.52,3.07,38.263,-25.238,1.368,60.719889,0.49050854
0.422,2.52,3.11,38.206,-29.055,1.371003,63.113757,0.26728829
0.422,2.52,3.15,38.164,-35.625,1.365001,65.539259,0.24324177
0.422,2.52,3.19,38.11,-50.392,1.353001,68.162666,0.04276973
0.422,2.52,3.23,38.05,-33.073,1.341,70.773282,-0.32211517
0.422,2.52,3.27,38.029,-29.017,1.328998,72.670188,-0.42702551
0.422,2.52,3.31,37.96,-24.204,1.299,76.588386,-1.0164844
0.422,2.53,2.95,38.296,-18.773,1.334999,53.744507,0.43627627
0.422,2.53,2.99,38.239,-20.384,1.353001,55.909889,0.37728154
0.422,2.53,3.03,38.182,-22.238,1.362004,58.021747,0.43706241
0.422,2.53,3.07,38.134,-24.341,1.370998,59.987978,0.2917274
0.422,2.53,3.11,38.08,-27.678,1.368,62.352892,0.29655429
0.422,2.53,3.15,38.035,-32.884,1.368,64.728416,0.12593702
0.422,2.53,3.19,37.981,-49.579,1.359002,67.306641,-0.028280246
0.422,2.53,3.23,37.924,-35.999,1.343998,69.892634,-0.13718139
0.422,2.53,3.27,37.903,-30.75,1.334999,71.758343,-0.1988846
0.422,2.53,3.31,37.834,-25.179,1.308003,75.617617,-0.69178478
0.422,2.54,2.95,38.167,-18.364,1.332,53.13614,0.080605012
0.422,2.54,2.99,38.113,-19.886,1.350002,55.271833,0.22233709
0.422,2.54,3.03,38.053,-21.611,1.359001,57.342273,0.12893547
0.422,2.54,3.07,38.008,-23.542,1.368,59.285375,0.19457236
0.422,2.54,3.11,37.954,-26.509,1.370998,61.610706,0.23581283
0.422,2.54,3.15,37.909,-30.841,1.370999,63.952617,0.10795324
0.422,2.54,3.19,37.855,-40.506,1.361999,66.487616,0.001058389
0.422,2.54,3.23,37.798,-40.354,1.349999,69.027387,-0.05639518
0.422,2.54,3.27,37.777,-32.87,1.344001,70.86545,-0.078305931
0.422,2.54,3.31,37.708,-26.253,1.316998,74.665994,-0.48353591
0.444,2.45,2.95,39.397,-22.042,1.292999,56.528033,2.2786525
0.444,2.45,2.99,39.34,-24.651,1.353001,58.86957,1.8512638
0.444,2.45,3.03,39.28,-28.435,1.368,61.291852,1.2428875
0.444,2.45,3.07,39.22,-34.313,1.361999,63.52363,0.58246626
0.444,2.45,3.11,39.169,-60.953,1.353001,66.049721,-0.073540301
0.444,2.45,3.15,39.115,-34.16,1.334999,68.473369,-0.72136268
0.444,2.45,3.19,39.064,-27.801,1.32,71.254536,-1.7209514
0.444,2.45,3.23,39.013,-24.514,1.292999,73.861858,-2.516425
0.444,2.45,3.27,38.944,-21.553,1.257,77.237335,-3.9683661
0.444,2.45,3.31,38.899,-19.852,1.223999,79.906857,-5.018516
0.444,2.46,2.95,39.265,-21.327,1.358997,55.738549,2.2458876
0.444,2.46,2.99,39.208,-23.685,1.365002,58.04427,1.8676319
0.444,2.46,3.03,39.148,-26.965,1.371002,60.433486,1.3165322
0.444,2.46,3.07,39.091,-31.584,1.365001,62.676616,0.8924791
0.444,2.46,3.11,39.037,-43.852,1.356003,65.12438,0.11960235
0.444,2.46,3.15,38.983,-38.234,1.344002,67.510193,-0.46083533
0.444,2.46,3.19,38.935,-29.545,1.326001,70.321787,-1.1795142
0.444,2.46,3.23,38.881,-25.692,1.305,72.83373,-2.0885652
0.444,2.46,3.27,38.815,-22.391,1.272003,76.243659,-3.220112
0.444,2.46,3.31,38.77,-20.542,1.242001,78.895019,-4.170582
0.444,2.47,2.95,39.133,-20.683,1.355999,54.969046,2.1479892
0.444,2.47,2.99,39.076,-22.836,1.365002,57.239084,1.8159963
0.444,2.47,3.03,39.016,-25.734,1.371002,59.593882,1.3169413
0.444,2.47,3.07,38.959,-29.554,1.365002,61.799177,0.94076311
0.444,2.47,3.11,38.908,-37.444,1.362,64.260027,0.41776379
0.444,2.47,3.15,38.854,-45.846,1.349998,66.61006,-0.099154086
0.444,2.47,3.19,38.803,-31.675,1.334999,69.340877,-0.92601808
0.444,2.47,3.23,38.752,-27.023,1.317002,71.874119,-1.5627182
0.444,2.47,3.27,38.686,-23.297,1.284,75.244499,-2.580418
0.444,2.47,3.31,38.641,-21.274,1.257,77.875194,-3.4361111
0.444,2.48,2.95,39.001,-20.096,1.349999,54.222211,1.992414
0.444,2.48,2.99,38.944,-22.08,1.365002,56.456559,1.7025529
0.444,2.48,3.03,38.884,-24.68,1.367996,58.777858,1.2498812
0.444,2.48,3.07,38.827,-27.942,1.368,60.944516,0.91837859
0.444,2.48,3.11,38.776,-33.844,1.365002,63.369056,0.45261807
0.444,2.48,3.15,38.722,-54.067,1.353,65.680685,-0.009127607
0.444,2.48,3.19,38.674,-34.434,1.341,68.423588,-0.56575086
0.444,2.48,3.23,38.623,-28.559,1.322998,70.919174,-1.1296142
0.444,2.48,3.27,38.557,-24.287,1.292999,74.247017,-2.0420041
0.444,2.48,3.31,38.512,-22.057,1.269001,76.851962,-2.8082087
0.444,2.49,2.95,38.869,-19.557,1.344001,53.492378,1.7463906
